timestamp,controller,occupancy,occupancy_count,predicted_count,predicted_occupancy,outdoor_temperature,indoor_before,action,indoor_temperature
2021-11-09 06:00:00,reactive,0,0,0.0,0,26.29999924,28.0,0,27.9319999696
2021-11-09 06:05:00,reactive,0,0,0.0,0,26.29999924,27.9319999696,0,27.866719940416
2021-11-09 06:10:00,reactive,0,0,0.0,0,26.29999924,27.866719940416,0,27.80405111239936
2021-11-09 06:15:00,reactive,0,0,0.0,0,26.29999924,27.80405111239936,0,27.743889037503386
2021-11-09 06:20:00,reactive,0,0,0.0,0,26.29999924,27.743889037503386,0,27.68613344560325
2021-11-09 06:25:00,reactive,0,0,0.0,0,26.29999924,27.68613344560325,0,27.63068807737912
2021-11-09 06:30:00,reactive,0,0,0.0,0,26.23332787,27.63068807737912,0,27.574793669083956
2021-11-09 06:35:00,reactive,0,0,0.0,0,26.20000076,27.574793669083956,0,27.5198019527206
2021-11-09 06:40:00,reactive,0,0,0.0,0,26.10001945,27.5198019527206,0,27.463010652611775
2021-11-09 06:45:00,reactive,0,0,0.0,0,26.19999504,27.463010652611775,0,27.412490028107303
2021-11-09 06:50:00,reactive,0,0,0.0,0,26.20000076,27.412490028107303,0,27.36399045738301
2021-11-09 06:55:00,reactive,0,0,0.0,0,26.20000076,27.36399045738301,0,27.31743086948769
2021-11-09 07:00:00,reactive,0,0,0.0,0,26.20000076,27.31743086948769,0,27.272733665108184
2021-11-09 07:05:00,reactive,0,0,0.0,0,26.20000076,27.272733665108184,0,27.229824348903858
2021-11-09 07:10:00,reactive,0,0,0.0,0,26.20000076,27.229824348903858,0,27.188631405347703
2021-11-09 07:15:00,reactive,0,0,0.0,0,26.20000076,27.188631405347703,0,27.149086179533796
2021-11-09 07:20:00,reactive,0,0,0.0,0,26.39999962,27.149086179533796,0,27.119122717152443
2021-11-09 07:25:00,reactive,0,0,0.0,0,26.40000725,27.119122717152443,0,27.090358098466346
2021-11-09 07:30:00,reactive,0,0,0.0,0,26.60000038,27.090358098466346,0,27.070743789727693
