timestamp,controller,occupancy,occupancy_count,predicted_count,predicted_occupancy,outdoor_temperature,indoor_before,action,indoor_temperature
2021-11-09 06:00:00,rl_ppo,0,0,0.15130281448364258,0,26.29999924,28.0,0,27.9319999696
2021-11-09 06:05:00,rl_ppo,0,0,0.2721724510192871,0,26.29999924,27.9319999696,0,27.866719940416
2021-11-09 06:10:00,rl_ppo,0,0,0.37520933151245117,0,26.29999924,27.866719940416,0,27.80405111239936
2021-11-09 06:15:00,rl_ppo,0,0,0.4684891700744629,0,26.29999924,27.80405111239936,0,27.743889037503386
2021-11-09 06:20:00,rl_ppo,0,0,0.5481441020965576,0,26.29999924,27.743889037503386,0,27.68613344560325
2021-11-09 06:25:00,rl_ppo,0,0,0.6155343055725098,0,26.29999924,27.68613344560325,0,27.63068807737912
2021-11-09 06:30:00,rl_ppo,0,0,0.6721103191375732,0,26.23332787,27.63068807737912,0,27.574793669083956
2021-11-09 06:35:00,rl_ppo,0,0,0.7238438129425049,0,26.20000076,27.574793669083956,0,27.5198019527206
2021-11-09 06:40:00,rl_ppo,0,0,0.7749936580657959,0,26.10001945,27.5198019527206,0,27.463010652611775
2021-11-09 06:45:00,rl_ppo,0,0,0.8436017036437988,0,26.19999504,27.463010652611775,0,27.412490028107303
2021-11-09 06:50:00,rl_ppo,0,0,0.9640359878540039,0,26.20000076,27.412490028107303,0,27.36399045738301
2021-11-09 06:55:00,rl_ppo,0,0,1.3389482498168945,1,26.20000076,27.36399045738301,0,27.31743086948769
2021-11-09 07:00:00,rl_ppo,0,0,1.4692890644073486,1,26.20000076,27.31743086948769,0,27.272733665108184
2021-11-09 07:05:00,rl_ppo,0,0,1.6248462200164795,1,26.20000076,27.272733665108184,0,27.229824348903858
2021-11-09 07:10:00,rl_ppo,0,0,1.80984365940094,1,26.20000076,27.229824348903858,0,27.188631405347703
2021-11-09 07:15:00,rl_ppo,0,0,2.02714204788208,1,26.20000076,27.188631405347703,0,27.149086179533796
2021-11-09 07:20:00,rl_ppo,0,0,2.2809953689575195,1,26.39999962,27.149086179533796,0,27.119122717152443
2021-11-09 07:25:00,rl_ppo,0,0,2.55885648727417,1,26.40000725,27.119122717152443,0,27.090358098466346
2021-11-09 07:30:00,rl_ppo,0,0,2.857003688812256,1,26.60000038,27.090358098466346,0,27.070743789727693
2021-11-09 07:35:00,rl_ppo,0,0,3.1576719284057617,1,26.70000076,27.070743789727693,0,27.055914068538584
2021-11-09 07:40:00,rl_ppo,0,0,3.452397108078003,1,27.00002289,27.055914068538584,0,27.05367842139704
2021-11-09 07:45:00,rl_ppo,0,0,3.727503776550293,1,27.20000076,27.05367842139704,0,27.05953131494116
2021-11-09 07:50:00,rl_ppo,0,0,3.98110294342041,1,27.49890518,27.05953131494116,0,27.077106269543513
2021-11-09 07:55:00,rl_ppo,0,0,4.2110443115234375,1,27.69997406,27.077106269543513,0,27.102020981161772
